,no_training,,MNIST,,no_training_pruned@0.2000,,no_training_pruned@0.5578,,no_training_pruned@0.8960,,no_training_pruned@0.9933,,pruned@0.2000,,pruned@0.5578,,pruned@0.8960,,pruned@0.9933,
,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc
0,2.3159994201660155,0.10100000351667404,2.195922306060791,0.19699999690055847,2.2937578449249267,0.10599999874830246,2.255480405807495,0.12700000405311584,2.2393371524810792,0.14800000190734863,2.3025851249694824,0.10000000149011612,2.1954536228179933,0.1979999989271164,2.194401554107666,0.20800000429153442,2.1956685638427733,0.20000000298023224,2.1966454963684083,0.1940000057220459
1,2.3141938343048096,0.07699999958276749,2.2197698345184325,0.23000000417232513,2.295971767425537,0.12300000339746475,2.264544864654541,0.17900000512599945,2.2582362899780275,0.2029999941587448,2.3025851249694824,0.10000000149011612,2.2191577053070066,0.2290000021457672,2.2194388217926027,0.23199999332427979,2.2180732593536376,0.23199999332427979,2.218824811935425,0.22300000488758087
2,2.309730438232422,0.07999999821186066,2.1825138626098632,0.2720000147819519,2.2894784412384035,0.16500000655651093,2.250525459289551,0.22100000083446503,2.2347808017730713,0.23600000143051147,2.3025851249694824,0.10000000149011612,2.181190856933594,0.2750000059604645,2.181959846496582,0.2809999883174896,2.18138818359375,0.27900001406669617,2.179106336593628,0.27799999713897705
average,2.313307897567749,0.08600000043710072,2.1994020010630284,0.23300000528494516,2.293069351196289,0.1313333362340927,2.256850243250529,0.17566667000452676,2.244118081410726,0.19566666583220163,2.3025851249694824,0.10000000149011612,2.1986007283528646,0.23400000234444937,2.1986000741322838,0.2403333286444346,2.1983766689300537,0.2370000034570694,2.1981922149658204,0.2316666692495346
