,no_training,,MNIST,,no_training_pruned@0.2000,,no_training_pruned@0.5578,,no_training_pruned@0.8960,,no_training_pruned@0.9933,,pruned@0.2000,,pruned@0.5578,,pruned@0.8960,,pruned@0.9933,
,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc
0,2.312165306854248,0.1014999970793724,1.7170508020401,0.41920000314712524,2.2567051975250245,0.16120000183582306,2.1452222602844238,0.21150000393390656,2.1270077474594116,0.20090000331401825,2.3025851249694824,0.10000000149011612,1.7143039615631104,0.4180999994277954,1.7144385980606078,0.41780000925064087,1.7129990982055665,0.4187000095844269,1.7128965986251832,0.41839998960494995
1,2.3114623790740967,0.09989999979734421,1.697044048500061,0.4221999943256378,2.255865715408325,0.21789999306201935,2.146855018997192,0.25609999895095825,2.1262472137451174,0.2506999969482422,2.3025851249694824,0.10000000149011612,1.6990389080047608,0.4223000109195709,1.695161380958557,0.42320001125335693,1.694448880004883,0.423799991607666,1.6930151111602783,0.4244999885559082
2,2.310841305923462,0.08340000361204147,1.665666842842102,0.42899999022483826,2.2479562393188477,0.2248000055551529,2.1060381750106814,0.28450000286102295,2.0849786823272707,0.26759999990463257,2.3025851249694824,0.10000000149011612,1.6663383842468262,0.429500013589859,1.6661816780090333,0.4300999939441681,1.6633920053482056,0.430400013923645,1.663290710067749,0.4309999942779541
average,2.3114896639506024,0.0949333334962527,1.6932538977940876,0.4234666625658671,2.2535090507507323,0.20130000015099844,2.1327051514307658,0.2507000019152959,2.1127445478439335,0.23973333338896433,2.3025851249694824,0.10000000149011612,1.6932270846048991,0.42330000797907513,1.6919272190093995,0.4237000048160553,1.6902799945195517,0.4243000050385793,1.6897341399510701,0.42463332414627075
