,no_training,,MNIST,,no_training_pruned@0.2000,,no_training_pruned@0.5578,,no_training_pruned@0.8960,,no_training_pruned@0.9933,,pruned@0.2000,,pruned@0.5578,,pruned@0.8960,,pruned@0.9933,
,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc,loss,acc
0,2.3075063762664794,0.0860000029206276,0.2039275653347373,0.9391000270843506,2.148501815032959,0.7009999752044678,1.7720402477264405,0.9204000234603882,1.6236551950454712,0.9247000217437744,2.3025851249694824,0.09799999743700027,0.20303186587244273,0.9388999938964844,0.20313997292816638,0.9391000270843506,0.20290439295470714,0.939300000667572,0.20346202135533095,0.9397000074386597
1,2.30390626373291,0.07880000025033951,0.20039619985073806,0.941100001335144,2.1584038024902346,0.7915999889373779,1.7706191520690917,0.9212999939918518,1.5976275802612305,0.9308000206947327,2.3025851249694824,0.09799999743700027,0.19940179022997617,0.941100001335144,0.20005085516124962,0.9409000277519226,0.19953050694018604,0.9416000247001648,0.1991883311778307,0.9409000277519226
2,2.3047962326049807,0.0851999968290329,0.2144344618692994,0.9358000159263611,2.1516609649658203,0.6733999848365784,1.7783457527160644,0.9169999957084656,1.620306311416626,0.9193999767303467,2.3025851249694824,0.09799999743700027,0.21411974196135997,0.9358000159263611,0.21380353988707065,0.9361000061035156,0.21286680719554424,0.9358000159263611,0.21315060189664364,0.9361000061035156
average,2.30540295753479,0.08333333333333333,0.2062527423515916,0.9386666814486185,2.1528555274963384,0.721999982992808,1.7736683841705323,0.9195666710535685,1.613863028907776,0.9249666730562845,2.3025851249694824,0.09799999743700027,0.20551779935459294,0.9386000037193298,0.20566478932549556,0.9387000203132629,0.2051005690301458,0.9389000137646993,0.2052669848099351,0.9389000137646993
